ENSEMBL_ID	LIB5434138_HITS5453695	LIB5434139_HITS5453696	LIB5434140_HITS5453697	LIB5434141_HITS5453698	LIB5434142_HITS5453699	LIB5434143_HITS5453700	LIB5434144_HITS5453701	LIB5434145_HITS5453702	LIB5434146_HITS5453703	LIB5434147_HITS5453704	LIB5434148_HITS5453705	LIB5434149_HITS5453706	LIB5434150_HITS5453707	LIB5434151_HITS5453708	LIB5434152_HITS5453709	LIB5434153_HITS5453710	LIB5434154_HITS5453711	LIB5434155_HITS5453712	LIB5434156_HITS5453713	LIB5434157_HITS5453714	LIB5434158_HITS5453715	LIB5434159_HITS5453716	LIB5434160_HITS5453717	LIB5434161_HITS5453718	LIB5434162_HITS5453719	LIB5434163_HITS5453720	LIB5434164_HITS5453721	LIB5434165_HITS5453722	LIB5434166_HITS5453723	LIB5434167_HITS5453724	LIB5434168_HITS5453725	LIB5434169_HITS5453726	LIB5434170_HITS5453727	LIB5434171_HITS5453728	LIB5434172_HITS5453729	LIB5434173_HITS5453730	LIB5434174_HITS5453731	LIB5434175_HITS5453732	LIB5434176_HITS5453733	LIB5434177_HITS5453734	LIB5434178_HITS5453735	LIB5434179_HITS5453736	LIB5434180_HITS5453737	LIB5434181_HITS5453738	LIB5434182_HITS5453739
ENSG00000000003	703	632	768	954	871	839	938	905	928	1276	1492	1143	684	753	765	679	654	657	2356	2053	3244	2590	3275	2751	2406	3218	2486	1751	1138	2025	1083	1860	1515	1593	1429	1609	1027	848	1082	1026	1138	1036	820	914	968
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	1551	1303	1559	1320	1313	1216	1813	1716	1782	3773	4610	3469	1543	1595	1675	1977	1805	1810	1365	1091	1697	1505	1790	1529	1172	1780	1334	1248	846	1590	921	1496	1213	1225	1045	1203	3163	2676	3405	3122	3206	3295	2265	2857	2933
ENSG00000000457	243	211	275	277	226	231	249	244	270	519	613	458	245	248	270	309	228	228	721	584	931	844	997	798	818	1018	787	372	245	397	255	391	362	300	307	355	631	444	657	598	584	622	459	591	592
ENSG00000000460	548	479	583	492	430	389	682	652	608	1088	1318	1007	440	372	381	526	430	402	1341	1082	1825	1478	1801	1598	1503	1942	1517	565	380	682	383	628	520	557	467	597	1347	1098	1466	1293	1306	1293	1120	1322	1311
ENSG00000000938	0	0	0	1	2	0	1	3	0	4	3	4	5	2	2	2	0	2	3	1	10	2	1	2	6	2	8	4	4	0	1	4	1	6	2	7	3	2	0	1	0	0	1	1	1
ENSG00000000971	899	787	1029	1146	1136	1021	1213	1042	1054	2273	2418	1955	1184	1306	1266	1168	1082	1033	11	4	10	9	6	14	7	6	11	1	0	2	0	0	0	1	1	1	428	304	414	350	356	338	294	323	384
ENSG00000001036	3566	3175	3815	3379	3169	2904	4005	4056	4120	7829	9954	7469	3425	3296	3352	4040	3758	3711	756	661	969	566	694	656	730	1057	796	1765	1199	2024	1032	1819	1557	1620	1511	1708	1	0	1	0	0	0	0	1	0
ENSG00000001084	924	695	872	776	758	761	958	909	932	1768	2191	1666	900	888	905	908	858	773	1042	904	1397	1238	1432	1286	1108	1450	1143	606	417	737	417	630	529	591	507	636	1549	1282	1637	1558	1687	1634	1155	1483	1421
ENSG00000001167	621	600	662	598	597	490	734	680	712	1262	1560	1256	564	534	583	607	587	581	3036	2544	3822	3516	4045	3602	2861	4196	3236	2485	1682	2968	1680	2848	2486	2131	2033	2295	2309	1906	2507	2275	2204	2147	1671	2036	2042
ENSG00000001460	151	159	169	187	144	105	169	181	190	496	582	420	195	187	220	270	247	234	234	162	287	241	248	256	224	313	228	216	115	253	121	185	173	180	185	143	660	639	728	791	819	717	484	556	689
ENSG00000001461	1525	1275	1591	2027	1751	1619	1745	1601	1811	4274	5294	4113	2578	2480	2626	2287	2090	2137	2560	2091	3178	2995	3413	3160	2502	3534	2693	3573	2310	4036	2219	3885	3470	3313	3082	3396	3397	2680	3466	3591	3465	3383	2347	3111	2891
ENSG00000001497	1585	1460	1723	1538	1428	1266	1873	1783	1861	3187	4100	2977	1426	1392	1426	1628	1360	1482	2127	1779	3031	2623	3159	2748	2046	3260	2478	2565	1603	2895	1742	2824	2413	2115	2067	2394	2823	2335	3004	3015	2847	2683	1946	2449	2485
ENSG00000001561	379	380	449	433	476	435	502	464	473	955	1124	819	480	479	503	490	446	452	71	76	91	78	102	105	82	104	80	0	1	0	1	0	0	0	0	0	245	195	275	266	274	284	179	218	223
ENSG00000001617	4	4	7	3	8	5	6	13	3	7	10	7	5	9	9	5	5	1	30	24	28	32	51	29	39	43	29	6	6	12	8	16	11	13	17	12	17	22	16	23	22	27	9	18	13
ENSG00000001626	2	3	3	9	6	5	5	3	7	5	5	8	3	6	2	2	2	1	28	28	49	55	35	46	31	55	42	17	13	19	12	20	18	13	18	29	2	5	6	2	1	1	0	1	7
ENSG00000001629	2404	2129	2563	2538	2287	2220	2790	2590	2787	6096	6855	5762	2901	2973	2973	3193	3046	2693	5090	4246	6557	5717	6690	6207	5404	7193	5488	4445	3339	5258	3092	4952	4314	4176	4012	4298	4743	4011	5302	4630	4873	4524	3601	4329	4773
ENSG00000001630	130	141	166	184	152	142	171	170	186	316	413	314	153	152	148	217	125	163	183	162	267	224	241	266	140	330	237	853	559	975	558	1087	970	870	788	1064	472	333	299	546	402	484	350	474	340
ENSG00000001631	207	161	202	205	177	194	231	205	239	570	629	460	262	296	285	263	209	217	516	440	697	606	721	578	453	721	605	373	233	359	246	370	281	274	258	331	417	310	427	389	398	411	325	388	452
ENSG00000002016	298	261	316	302	247	253	312	310	319	676	796	634	359	325	339	351	276	298	588	466	733	598	819	638	605	904	729	1127	749	1187	685	1186	987	943	940	1070	281	249	279	211	223	248	229	277	270
ENSG00000002079	3	3	6	3	5	4	8	6	1	22	23	23	11	9	13	15	13	13	7	6	9	4	5	7	5	9	7	2	7	5	1	8	0	3	0	0	16	25	32	23	16	25	14	25	23
ENSG00000002330	548	599	562	713	744	549	623	695	713	1503	1891	1440	769	684	678	908	601	810	574	544	824	674	851	875	403	878	581	699	463	770	509	897	821	631	616	801	1001	828	883	1133	984	1147	735	987	852
ENSG00000002549	2700	2384	2975	2823	2631	2398	3184	3028	3061	4591	5689	4387	2161	2143	2280	2395	2228	2254	2833	2428	3681	3508	4092	3762	2276	3864	2811	3253	2095	3867	2283	3611	3201	2911	2702	3013	2457	1996	2368	2493	2384	2323	1739	1941	2145
ENSG00000002586	4387	4301	5132	5509	5275	4846	5206	5218	5274	11083	13690	11082	5628	5816	5890	6535	5599	5944	1352	1212	1799	1407	1841	1552	1115	1828	1365	13009	8127	14720	9318	15522	12835	11733	10958	13130	7566	6616	7167	8255	8319	8291	6028	7381	7231
ENSG00000002587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	1	6	5	8	8	4	1972	1307	2248	1432	2401	2191	1971	1889	2103	32	26	30	51	33	23	39	34	35
ENSG00000002726	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	3	1	2	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0
ENSG00000002745	10	9	11	3	8	0	16	16	8	23	22	34	10	14	9	16	13	5	15	12	20	18	20	12	24	22	18	2	1	4	3	2	1	1	5	7	22	3	15	12	9	5	8	4	14
ENSG00000002746	243	200	224	239	196	208	248	244	296	561	753	571	262	273	248	294	239	278	1	1	3	1	1	0	1	1	2	114	81	107	29	76	76	86	82	94	117	70	103	109	103	114	70	100	104
ENSG00000002822	1	3	3	7	2	1	4	2	1	5	17	10	2	2	8	1	1	4	6	9	24	11	7	22	14	10	14	5	15	17	10	10	12	8	21	14	73	51	41	78	79	57	51	49	42
ENSG00000002834	9523	8627	10291	11740	10488	9310	10158	11067	11641	27089	33709	26272	14490	14039	13685	14441	12152	13433	6783	5991	8611	8063	9126	8359	5854	9336	6953	5457	3501	5755	3613	5713	5096	4834	4472	5139	14555	12085	13818	15620	14687	14843	10451	13355	12556
ENSG00000002919	627	597	696	747	650	602	794	695	749	1209	1607	1242	697	672	647	749	591	572	1188	995	1608	1385	1685	1548	1106	1665	1230	621	401	750	480	807	609	626	543	589	1459	1164	1546	1563	1451	1405	1004	1471	1331
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	2	3	1	3	2	2	2	1	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0
ENSG00000003056	3054	2694	3238	3055	2786	2649	3517	3400	3566	6386	8674	6001	3233	2972	2894	3141	2880	2848	1895	1509	2405	2254	2552	2203	1680	2582	1920	4884	3267	5715	3346	5652	4870	4334	4078	4476	5245	4372	5410	5327	5237	5407	4029	4763	4770
ENSG00000003096	524	439	505	557	527	496	597	623	634	835	1130	881	570	512	517	475	443	446	1932	1658	2508	2255	2731	2328	1928	2821	2045	938	700	1201	713	1115	980	872	908	848	542	476	532	596	628	644	406	513	516
ENSG00000003137	1890	1909	2119	3365	2839	2776	2196	2288	2429	2675	3254	2700	1812	1836	1689	1561	1208	1339	4	3	6	9	17	4	5	12	5	18	9	11	13	21	17	2	23	8	624	588	552	558	527	582	391	563	563
ENSG00000003147	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	285	243	420	310	392	360	279	428	275	112	58	161	98	155	130	118	133	106	581	526	618	741	735	689	461	579	570
ENSG00000003249	308	302	362	464	412	413	330	380	373	404	498	459	241	266	216	258	204	201	514	514	737	608	669	575	547	782	546	2083	1439	2381	1332	2326	2041	1806	1712	2109	2372	2241	2327	2737	2516	2555	1656	2065	1949
ENSG00000003393	1425	1276	1496	1546	1356	1293	1648	1484	1629	2856	3628	2789	1588	1564	1563	1495	1451	1357	2271	1870	3055	2747	3200	2823	2542	3148	2508	3538	2501	4162	2130	3995	3291	3162	2828	3261	3017	2480	3273	2948	3068	2982	2309	2715	2773
ENSG00000003400	199	215	261	312	281	246	296	249	271	351	434	300	176	210	161	204	168	156	2	4	11	3	2	3	9	5	3	3	3	5	0	5	1	3	5	5	10	7	16	20	12	17	13	17	14
ENSG00000003402	1492	1342	1724	1693	1483	1510	1646	1565	1759	3257	3992	3281	1777	1760	1841	1731	1487	1477	2255	1925	2939	2509	2908	2740	2230	3250	2541	1919	1431	2278	1207	2159	1763	1686	1706	1856	2240	1876	2320	2217	2004	2025	1693	2019	2197
ENSG00000003436	5313	4744	5777	5034	4631	4247	6204	5756	5961	10117	11155	9026	4036	4310	4646	5730	5422	4757	2863	2515	3695	3249	4052	3528	1943	4048	3022	1319	997	1776	980	1462	1371	1311	1182	1250	1956	1657	2183	1929	2187	2132	1555	1824	1898
ENSG00000003509	537	524	655	585	557	509	729	607	642	1228	1654	1222	693	621	584	615	593	568	445	405	644	563	675	593	503	662	547	563	411	644	395	650	582	498	475	536	539	427	611	570	568	591	443	494	554
ENSG00000003756	1769	1619	1892	1965	1871	1852	1918	1842	2010	3869	4591	3949	2332	2158	2201	1921	1647	1640	4386	3501	5855	5123	5897	5239	4947	6494	4970	3899	2753	4589	2708	4327	3684	3664	3496	3937	3272	2473	3636	3196	2837	2916	2620	3378	3319
ENSG00000003987	36	54	43	38	32	35	37	58	55	114	128	66	52	54	48	63	59	43	39	20	56	31	47	68	36	47	49	40	20	40	21	33	32	28	34	38	63	52	51	58	45	45	35	20	61
ENSG00000003989	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1	0	0	1631	1332	1986	1867	2288	2070	1689	2335	1679	24	13	35	17	27	21	20	15	21	2	1	2	1	5	4	2	1	0
ENSG00000004059	1711	1722	1984	2392	2154	1971	1940	2252	2286	4288	5346	4238	2399	2357	2304	2456	2031	2233	2458	2264	3375	3281	3871	3438	2271	3728	2748	2694	1546	2858	1830	3203	2629	2266	2295	2556	3402	3060	2996	3827	3579	3534	2329	3158	3044
ENSG00000004139	407	387	451	463	382	397	417	480	537	769	975	780	429	429	392	450	308	370	1160	1017	1524	1431	1599	1569	1271	1824	1393	649	417	685	374	716	728	630	593	732	324	281	274	340	301	316	268	359	281
ENSG00000004142	5329	4764	5843	5211	4762	4108	5948	5962	6205	11501	14500	11366	5347	4928	4962	5908	5299	5590	3635	3223	5127	4575	5405	4640	3571	5412	3838	4037	2533	4649	2589	4476	3766	3541	3313	3770	4177	3421	4058	4265	4043	3948	2881	3733	3627
ENSG00000004399	1245	1285	1468	2140	1823	1720	1466	1670	1776	2294	2768	2424	1750	1766	1749	1520	1130	1273	1512	1299	2034	1637	1946	1707	1712	2410	1795	7617	5190	8586	4729	8340	7275	6694	6328	7825	3853	3305	3481	4446	3543	3863	2825	3744	3420
ENSG00000004455	4026	3641	4272	4426	4258	3874	4438	4351	4303	8372	10383	8009	4197	4315	4344	4634	4108	4057	2225	1839	2954	2748	3209	2984	2252	3223	2339	2038	1416	2432	1424	2468	1888	1871	1821	2098	4163	3208	4332	4119	4115	3829	3012	3791	3757
ENSG00000004468	68	62	89	60	53	45	93	91	97	20	36	24	10	9	10	12	18	15	2	1	1	1	2	0	0	2	1	36	23	25	15	19	14	24	23	25	5	7	7	9	1	12	10	9	6
ENSG00000004478	3449	3290	3875	2638	2503	2186	3672	3807	3854	6639	8540	6461	2351	2173	2278	3337	2907	3006	3272	2866	4559	3720	4210	3862	2854	4742	3482	5153	3298	6002	3247	5654	4662	4685	4396	4985	6714	5539	6665	6007	5791	5799	4464	6001	6003
ENSG00000004487	2405	2243	2738	2469	2325	2218	2670	2736	2716	5512	6656	5134	2519	2535	2634	3042	2568	2621	13552	11621	18379	16415	19169	17134	14075	19574	14745	4632	3252	5532	3133	5481	4525	4178	3965	4425	5895	4852	6165	5924	5769	5803	4296	5464	5388
