NUMID,CELL_LINE,TREATMENT,GENOTYPE,REPLICATE,FASTQ,FOLDER,,
1,U87MG,vehicle,WT,1,LIB5434138_HITS5453695_R1.fastq.gz,LIB5434138_HITS5453695,,
2,U87MG,vehicle,WT,2,LIB5434139_HITS5453696_R1.fastq.gz,LIB5434139_HITS5453696,,
3,U87MG,vehicle,WT,3,LIB5434140_HITS5453697_R1.fastq.gz,LIB5434140_HITS5453697,,
4,U87MG,inh1,WT,1,LIB5434141_HITS5453698_R1.fastq.gz,LIB5434141_HITS5453698,,
5,U87MG,inh1,WT,2,LIB5434142_HITS5453699_R1.fastq.gz,LIB5434142_HITS5453699,,
6,U87MG,inh1,WT,3,LIB5434143_HITS5453700_R1.fastq.gz,LIB5434143_HITS5453700,,
7,U87MG,inh2,WT,1,LIB5434144_HITS5453701_R1.fastq.gz,LIB5434144_HITS5453701,,
8,U87MG,inh2,WT,2,LIB5434145_HITS5453702_R1.fastq.gz,LIB5434145_HITS5453702,,
9,U87MG,inh2,WT,3,LIB5434146_HITS5453703_R1.fastq.gz,LIB5434146_HITS5453703,,
10,U87MG,vehicle,KO,1,LIB5434147_HITS5453704_R1.fastq.gz,LIB5434147_HITS5453704,,
11,U87MG,vehicle,KO,2,LIB5434148_HITS5453705_R1.fastq.gz,LIB5434148_HITS5453705,,
12,U87MG,vehicle,KO,3,LIB5434149_HITS5453706_R1.fastq.gz,LIB5434149_HITS5453706,,
13,U87MG,inh1,KO,1,LIB5434150_HITS5453707_R1.fastq.gz,LIB5434150_HITS5453707,,
14,U87MG,inh1,KO,2,LIB5434151_HITS5453708_R1.fastq.gz,LIB5434151_HITS5453708,,
15,U87MG,inh1,KO,3,LIB5434152_HITS5453709_R1.fastq.gz,LIB5434152_HITS5453709,,
16,U87MG,inh2,KO,1,LIB5434153_HITS5453710_R1.fastq.gz,LIB5434153_HITS5453710,,
17,U87MG,inh2,KO,2,LIB5434154_HITS5453711_R1.fastq.gz,LIB5434154_HITS5453711,,
18,U87MG,inh2,KO,3,LIB5434155_HITS5453712_R1.fastq.gz,LIB5434155_HITS5453712,,
19,G343,vehicle,WT,1,LIB5434156_HITS5453713_R1.fastq.gz,LIB5434156_HITS5453713,,
20,G343,vehicle,WT,2,LIB5434157_HITS5453714_R1.fastq.gz,LIB5434157_HITS5453714,,
21,G343,vehicle,WT,3,LIB5434158_HITS5453715_R1.fastq.gz,LIB5434158_HITS5453715,,
22,G343,inh1,WT,1,LIB5434159_HITS5453716_R1.fastq.gz,LIB5434159_HITS5453716,,
23,G343,inh1,WT,2,LIB5434160_HITS5453717_R1.fastq.gz,LIB5434160_HITS5453717,,
24,G343,inh1,WT,3,LIB5434161_HITS5453718_R1.fastq.gz,LIB5434161_HITS5453718,,
25,G343,inh2,WT,1,LIB5434162_HITS5453719_R1.fastq.gz,LIB5434162_HITS5453719,,
26,G343,inh2,WT,2,LIB5434163_HITS5453720_R1.fastq.gz,LIB5434163_HITS5453720,,
27,G343,inh2,WT,3,LIB5434164_HITS5453721_R1.fastq.gz,LIB5434164_HITS5453721,,
28,CL_16_1240,vehicle,WT,1,LIB5434165_HITS5453722_R1.fastq.gz,LIB5434165_HITS5453722,,
29,CL_16_1240,vehicle,WT,2,LIB5434166_HITS5453723_R1.fastq.gz,LIB5434166_HITS5453723,,
30,CL_16_1240,vehicle,WT,3,LIB5434167_HITS5453724_R1.fastq.gz,LIB5434167_HITS5453724,,
31,CL_16_1240,inh1,WT,1,LIB5434168_HITS5453725_R1.fastq.gz,LIB5434168_HITS5453725,,
32,CL_16_1240,inh1,WT,2,LIB5434169_HITS5453726_R1.fastq.gz,LIB5434169_HITS5453726,,
33,CL_16_1240,inh1,WT,3,LIB5434170_HITS5453727_R1.fastq.gz,LIB5434170_HITS5453727,,
34,CL_16_1240,inh2,WT,1,LIB5434171_HITS5453728_R1.fastq.gz,LIB5434171_HITS5453728,,
35,CL_16_1240,inh2,WT,2,LIB5434172_HITS5453729_R1.fastq.gz,LIB5434172_HITS5453729,,
36,CL_16_1240,inh2,WT,3,LIB5434173_HITS5453730_R1.fastq.gz,LIB5434173_HITS5453730,,
37,LN229,vehicle,WT,1,LIB5434174_HITS5453731_R1.fastq.gz,LIB5434174_HITS5453731,,
38,LN229,vehicle,WT,2,LIB5434175_HITS5453732_R1.fastq.gz,LIB5434175_HITS5453732,,
39,LN229,vehicle,WT,3,LIB5434176_HITS5453733_R1.fastq.gz,LIB5434176_HITS5453733,,
40,LN229,inh1,WT,1,LIB5434177_HITS5453734_R1.fastq.gz,LIB5434177_HITS5453734,,
41,LN229,inh1,WT,2,LIB5434178_HITS5453735_R1.fastq.gz,LIB5434178_HITS5453735,,
42,LN229,inh1,WT,3,LIB5434179_HITS5453736_R1.fastq.gz,LIB5434179_HITS5453736,,
43,LN229,inh2,WT,1,LIB5434180_HITS5453737_R1.fastq.gz,LIB5434180_HITS5453737,,
44,LN229,inh2,WT,2,LIB5434181_HITS5453738_R1.fastq.gz,LIB5434181_HITS5453738,,
45,LN229,inh2,WT,3,LIB5434182_HITS5453739_R1.fastq.gz,LIB5434182_HITS5453739,,
