U87MG_WT_vehicle_1,U87MG_WT_vehicle_2,U87MG_WT_vehicle_3,U87MG_WT_inh1_1,U87MG_WT_inh1_2,U87MG_WT_inh1_3,U87MG_WT_inh2_1,U87MG_WT_inh2_2,U87MG_WT_inh2_3,U87MG_KO_vehicle_1,U87MG_KO_vehicle_2,U87MG_KO_vehicle_3,U87MG_KO_inh1_1,U87MG_KO_inh1_2,U87MG_KO_inh1_3,U87MG_KO_inh2_1,U87MG_KO_inh2_2,U87MG_KO_inh2_3,Genes,HGNC,Entrez,uniprot
4.928972914259636,4.918887188279366,4.942527661656758,5.262818828509574,5.2453789211736135,5.286521457910158,5.160343076690545,5.147338633607907,5.102062123660557,4.698746938617042,4.6220631140238195,4.568967972350624,4.748238082693461,4.92316942854754,4.948352668686774,4.682426599056948,4.867756749251844,4.81756584571521,ENSG00000000003,TSPAN6,7105,O43657
6.0700142825518215,5.96214038623325,5.963494049340139,5.731086027272729,5.837222552181561,5.821655547911558,6.1106911718299495,6.0700219446149966,6.0429903850563855,6.262456675079927,6.249255399219729,6.1702393732962975,5.921321119050686,6.005498620229028,6.0784700723914575,6.22355883764971,6.331690072255244,6.2788912230117235,ENSG00000000419,DPM1,8813,
3.3983442631054452,3.3384793718176433,3.4625347205371444,3.480561402343105,3.301389307094164,3.4280033262333647,3.2490261471969304,3.2584584576099735,3.3227888075519507,3.4017490551141347,3.3394674315345574,3.2505052455340055,3.2689105657502537,3.3228077685120025,3.447578885013802,3.547892457503821,3.349557722364673,3.292769116593615,ENSG00000000457,SCYL3,57147,Q8IZE3
4.5699141114262956,4.519352523715824,4.545215057673335,4.308197355449375,4.227891494444773,4.1786144610347975,4.700815377666885,4.6746018941149865,4.492417476438864,4.4688948083981295,4.443229753736213,4.3862914453542805,4.112329560355974,3.90680234229924,3.943633348021517,4.314386579315273,4.263376794703447,4.109563734537525,ENSG00000000460,C1orf112,55732,
5.283545772274585,5.235101631972334,5.364354326598241,5.52723808068643,5.628404035865777,5.569608431706356,5.531088535010804,5.350599470989765,5.285647403518826,5.531468404954463,5.318444720317515,5.343049142671896,5.539393834675792,5.7171971362697365,5.674725462899487,5.464538877072382,5.593658676920691,5.470041434960993,ENSG00000000971,CFH,3075,P08603
7.270859559246521,7.246733573426439,7.254282623217131,7.086811540062221,7.108061619704025,7.077209057493706,7.253896769654183,7.3107875757218155,7.251907719522148,7.315473579326646,7.359681035833987,7.27652328045049,7.071430221213867,7.052425092971562,7.079115717978823,7.254414976247101,7.389448655804157,7.314505415039481,ENSG00000001036,FUCA2,2519,Q9BTY2
5.323095810427299,5.055872223239933,5.125637533063002,4.965059555492938,5.045027437294962,5.145835169460421,5.19076476352782,5.1536976303092255,5.1082639388677356,5.169079619910842,5.176250861396307,5.112332924049199,5.143913817341836,5.160933692978395,5.190664932137154,5.101439562523672,5.259181691308737,5.051976242984581,ENSG00000001084,GCLC,2729,
4.750176882075588,4.843985954403328,4.72840285630391,4.5894248780491385,4.70081696991604,4.5112442691923675,4.80674882241595,4.735219154161734,4.7200502276646015,4.682836788736442,4.686340539790863,4.704922277819606,4.4701611222085615,4.427751864670207,4.556682946894334,4.5208374567827,4.7119524087589655,4.640354143008763,ENSG00000001167,NFYA,4800,P23511
2.713740284496054,2.9313781324625627,2.761767675102331,2.91496422648888,2.6529477495486073,2.2942341316803136,2.6912716049960137,2.82859354065349,2.8169512112184574,3.3364190237382965,3.2646621374132954,3.125689312194095,2.940356148742913,2.916452512332959,3.152728946744507,3.3535816421163713,3.464792082273575,3.330162874050922,ENSG00000001460,STPG1,90529,Q5TH74
6.045632765601759,5.930812702300166,5.992797653601908,6.349703640210271,6.252397339849991,6.234467695768315,6.055554783412424,5.969975885432423,6.066273114178423,6.4423090747400655,6.4488266284925135,6.415878050109261,6.661647681634778,6.642120968842394,6.727019970341701,6.433652886348323,6.543139695350741,6.518427466196168,ENSG00000001461,NIPAL3,57185,Q6P499
6.101288463126942,6.126212161526872,6.1077517953332565,5.951526169439181,5.9583073879843,5.87976630468563,6.157650404188783,6.125263303124552,6.105553924576648,6.0189787428435055,6.080132019957001,5.949613114690427,5.80759538301728,5.80916733917711,5.846358132768706,5.943424862685459,5.923428608556282,5.9905351509689115,ENSG00000001497,LAS1L,81887,
